,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url
637,X-Blades,30-Apr-09,9.99,"500,000-1,000,000",Gaijin Entertainment,Topware Interactive,313.0,183.0,54.0,21205,Action,M,PC,6.4,,,0.0,,0.0,,,2009.0,http://www.vgchartz.com/game/23988/x-blades/?region=All,/games/boxart/full_6571916AmericaFrontccc.jpg
638,Overlord: Raising Hell,12-Nov-09,9.99,"500,000-1,000,000","Triumph Studios, Virtual Programming",Codemasters,0.0,0.0,,11402,Adventure,T,PS3,,,,0.12,0.07,0.04,,0.02,2008.0,http://www.vgchartz.com/game/17033/overlord-raising-hell/?region=All,/games/boxart/full_5110479AmericaFrontccc.jpg
639,Overlord: Raising Hell,12-Nov-09,9.99,"500,000-1,000,000","Triumph Studios, Virtual Programming",Codemasters,0.0,0.0,,40252,Adventure,,PC,,,,,,,,,2008.0,http://www.vgchartz.com/game/22933/overlord-raising-hell/?region=All,/games/boxart/full_9876961PALFrontccc.jpg
640,Freedom Force,29-May-09,4.99,"200,000-500,000",Irrational Games,2K,0.0,0.0,90.0,21117,Role-Playing,T,PC,9.1,,,0.0,,0.0,,,2002.0,http://www.vgchartz.com/game/30491/freedom-force/?region=All,/games/boxart/full_2684422AmericaFrontccc.jpg
641,Freedom Force,29-May-09,4.99,"200,000-500,000",Irrational Games,2K,0.0,0.0,90.0,31368,Shooter,,NES,,,,,,,,,1988.0,http://www.vgchartz.com/game/18205/freedom-force/?region=All,/games/boxart/2887727ccc.jpg
642,Europa Universalis III Complete,4-Feb-09,14.99,"200,000-500,000",Paradox Development Studio,Paradox Interactive,0.0,0.0,83.0,17510,Strategy,E10,PC,,,,0.02,,0.02,,0.0,2008.0,http://www.vgchartz.com/game/29830/europa-universalis-iii-complete/?region=All,/games/boxart/full_europa-universalis-iii-complete_17AmericaFront.jpg
643,Need for Speed: Shift,6-Oct-09,19.99,"200,000-500,000",Slightly Mad Studios,Electronic Arts,0.0,0.0,83.0,682,Racing,E,PS3,8.2,,,2.65,0.69,1.4,0.04,0.52,2009.0,http://www.vgchartz.com/game/31147/need-for-speed-shift/?region=All,/games/boxart/full_6385284AmericaFrontccc.jpg
644,Need for Speed: Shift,6-Oct-09,19.99,"200,000-500,000",Slightly Mad Studios,Electronic Arts,0.0,0.0,83.0,1071,Racing,E,X360,8.2,,,1.91,0.73,0.96,0.01,0.22,2009.0,http://www.vgchartz.com/game/31149/need-for-speed-shift/?region=All,/games/boxart/full_9718795AmericaFrontccc.jpg
645,Need for Speed: Shift,6-Oct-09,19.99,"200,000-500,000",Slightly Mad Studios,Electronic Arts,0.0,0.0,83.0,3178,Racing,E,PSP,,,,0.75,0.16,0.38,0.01,0.21,2009.0,http://www.vgchartz.com/game/31150/need-for-speed-shift/?region=All,/games/boxart/full_6535500AmericaFrontccc.jpg
646,Need for Speed: Shift,6-Oct-09,19.99,"200,000-500,000",Slightly Mad Studios,Electronic Arts,0.0,0.0,83.0,14706,Racing,E,PC,8.3,,,0.06,,0.05,,0.01,2009.0,http://www.vgchartz.com/game/31148/need-for-speed-shift/?region=All,/games/boxart/full_7912217AmericaFrontccc.jpg
647,Need for Speed: Shift,6-Oct-09,19.99,"200,000-500,000",Slightly Mad Studios,Electronic Arts,0.0,0.0,83.0,39141,Racing,E,PSN,,,,,,,,,2009.0,http://www.vgchartz.com/game/39631/need-for-speed-shift/?region=All,/games/boxart/full_7657649AmericaFrontccc.png
648,Need for Speed: Shift,6-Oct-09,19.99,"200,000-500,000",Slightly Mad Studios,Electronic Arts,0.0,0.0,83.0,39142,Racing,E,XBL,,,,,,,,,2011.0,http://www.vgchartz.com/game/49623/need-for-speed-shift/?region=All,/games/boxart/full_need-for-speed-shift_810AmericaFront.jpg
649,King's Bounty: Armored Princess,19-Nov-09,9.99,"200,000-500,000",Katauri Interactive,1C Entertainment,0.0,0.0,82.0,19078,Strategy,,PC,,,,0.01,,0.01,,0.0,2009.0,http://www.vgchartz.com/game/40507/kings-bounty-armored-princess/?region=All,/games/boxart/full_5109276PALFrontccc.jpg
650,Dawn of Discovery,23-Jun-09,9.99,"200,000-500,000","Blue Byte, Related Designs",Ubisoft,0.0,0.0,82.0,5864,Simulation,T,PC,8.4,,,0.37,,0.32,,0.05,2009.0,http://www.vgchartz.com/game/29583/dawn-of-discovery/?region=All,/games/boxart/full_7772985AmericaFrontccc.jpg
